title,company,location,description,category,created,salary_min,salary_max
Data Analyst,Public Health Solutions,"Astoria, Queens","Company Overview : The New York City Department of Health and Mental Hygiene (DOHMH) is a world-renowned agency with a long tradition of protecting and promoting health in the nation’s most culturally and linguistically diverse city. Our 7,000-plus team members bring an extraordinary array of languages, cultures, and experiences to bear on the work of public health. Our diversity fuels creativity because all perspectives are heard and valued. DOHMH aims to improve the health outcomes of all New…",IT Jobs,2025-02-19T18:11:59Z,95000.0,95000.0
Data Analyst,Public Health Solutions,"New York City, New York","Job Description Job Description Company Overview : The New York City Department of Health and Mental Hygiene (DOHMH) is a world-renowned agency with a long tradition of protecting and promoting health in the nation’s most culturally and linguistically diverse city. Our 7,000-plus team members bring an extraordinary array of languages, cultures, and experiences to bear on the work of public health. Our diversity fuels creativity because all perspectives are heard and valued. DOHMH aims to improv…",IT Jobs,2025-04-15T11:18:09Z,95449.3,95449.3
Data Analyst,SourcePro Search,"New York City, New York","SourcePro Search has a fantastic opportunity for an experienced Data Analyst in the New York office of one of our top global clients. This role will support the production of financial management & client reports, analysis of monthly financial performance, and assistance with the analysis of departmental metrics. The successful candidate will have a degree in finance and at least 2-years of experience in an Analyst role within a mid to large sized company. This role offers a highly competitive …",Accounting & Finance Jobs,2024-08-01T10:59:28Z,95345.05,95345.05
Data Analyst,joberie USA,"East New York and New Lots, Brooklyn","Job Brief: As a Data Analyst I is responsible for the implementation of processes and daily duties which ensure the control and mitigation of risk to operational functions based on experience and specific duty delegation in accordance with applicable regulatory compliance requirements. Responsibilities: Assist with items processing including proof work, Fed adjustments, fraudulent items as applicable Communicate with vendors and make recommendations on hardware/software pertinent to current pro…",IT Jobs,2024-08-04T05:49:35Z,68150.49,68150.49
Data Analyst,Downtown Music,"New York City, New York","Job Description Job Description Downtown Music is a modern global music company committed to building a more equitable music industry. As the preferred partner for some of the world's most beloved songwriters, storied music catalogs, and emerging artists at the forefront of pop culture, we offer bespoke distribution, publishing administration, creative marketing and finance solutions to entrepreneurial creators and their partners. Downtown Music is owned and operated by Downtown Music Holdings.…",IT Jobs,2025-04-20T00:22:46Z,124507.88,124507.88
Data Analyst,Downtown Music,"New York City, New York","Downtown Music is a modern global music company committed to building a more equitable music industry. As the preferred partner for some of the world’s most beloved songwriters, storied music catalogs, and emerging artists at the forefront of pop culture, we offer bespoke distribution, publishing administration, creative marketing and finance solutions to entrepreneurial creators and their partners. Downtown Music is owned and operated by Downtown Music Holdings. THE ROLE Working alongside othe…",IT Jobs,2025-03-23T22:10:54Z,70000.0,90000.0
Data Analyst,Nesco Resource,"Queens, New York City","A major medical leader in healthcare practice management solutions has a need for a Healthcare Data Analyst . This is an onsite, full-time position located in Richmond Hill, NY. Overview/Position Summary This individual works in close collaboration with the Anesthesia leadership team, and under the direction of the Chairperson. They will be responsible for managing, analyzing, and interpreting large datasets within the department to help improve patient care, optimize anesthesia services, and s…",IT Jobs,2025-04-11T02:14:44Z,70710.5,70710.5
Data Analyst,Alloy,"New York City, New York","Alloy is where you belong Alloy helps solve the identity risk problem for companies that offer financial products by enabling them to outpace fraud and confidently serve more people around the world. Over 600 of the world’s largest financial institutions and fintechs turn to Alloy to take control of fraud, credit, and compliance risk, and grow with the clearest picture of their customers. Through our values: Be Bold, Get Scrappy, Collaborate, and Celebrate Our Differences, we are creating a wor…",Accounting & Finance Jobs,2025-01-12T06:33:58Z,105000.0,125000.0
Data Analyst,Manhattan University,"Bronx, New York City","Position Summary: Reporting to the Executive Director of Institutional Research with a dotted line to the Title V Project Director/Executive Director of Advising, the Data Analyst is responsible for supporting the data and reporting related to the centralized advising office and first-year experience. This is a grant-funded position that involves collecting and analyzing data to enable effective reporting to the U.S. Department of Education and the campus community. This is an on-site position.…",Teaching Jobs,2025-04-06T06:16:00Z,70000.0,75000.0
Data Analyst,Jun Group,"New York City, New York","Jun Group is a technology company building a world where consumers are in control of their data and advertisers can reach them directly. Intelligent advertising that inspires trust is our guiding principle. We’re passionate about making advertising better for everyone through our consent-based approach that empowers the world’s largest publishers, brands, and agencies to achieve their goals with integrity, transparency, and peace-of-mind. We are looking for a Data Analyst to join our engineerin…",IT Jobs,2025-04-10T21:44:55Z,80000.0,100000.0
Data Analyst,Meta,"Grand Central, Manhattan","Summary: The Social Measurement team is a growing team with high-visibility within the Communications organization that is being tasked with measuring the efficacy and impact of our social-first Communications and Marketing efforts. You'll play a unique role in shaping the way we approach reporting, define success, and leverage our own data to support the Communications team. In this role, you will employ data mining techniques to evaluate the success and efficacy of our social-first Communicat…",IT Jobs,2025-03-19T10:40:51Z,77958.6,77958.6
Data Analyst,Fortune Society,"Astoria, Queens","Job Details Long Island City - Long Island City, NY Full-Time Exempt $63000.00 - $68000.00 Salary/year Description Title: Data Analyst Unit: Employment Services Reports to: Program Manager, Data – Education and Employment Services Status: Full-Time; Regular; Exempt Salary range: $63,000 - $68,000 annually Location: Long Island City, NY 11101 Days/Hours: Monday through Friday, 9:00am to 5:00pm Organization Overview: The Fortune Society, Inc. (Fortune) has been working for over 57 years in servic…",IT Jobs,2025-04-14T23:08:51Z,63000.0,68000.0
Data Analyst,Fortune Society,"Hamilton Grange, Manhattan","Job Details Castle Gardens (West Harlem) - New York, NY Full-Time Non-Exempt $58000.00 - $65000.00 Salary/year Description Title: Data Analyst Unit: Housing Salary: $31.87 to $35.72 hourly (approximately $58,000 to $65,000 annually) Reporting To: VP of Housing Status: Full Time; Regular; Non-Exempt Location: Harlem Days/Hours: Monday-Friday 9am-5pm Position Summary: The Fortune Society’s Housing division provides supportive services to men, women and others impacted by mental health, substance …",Healthcare & Nursing Jobs,2025-03-18T21:04:44Z,58000.0,65000.0
Data Analyst,Endurance Services,"New York City, New York","As a leading provider of insurance and reinsurance with worldwide operations and employees in Bermuda, U.S., U.K., Continental Europe and Asia, we recognize that our success is derived directly from those who matter the most: our people . At Sompo International, our values of integrity, collaboration, agility, execution and excellence underpin our culture and our commitment to providing an employee experience that attracts and engages the best talent in the industry. As we continue to grow, we …",IT Jobs,2024-09-11T15:44:36Z,85000.0,130000.0
Data Analyst,FanDuel,"New York City, New York","ABOUT FANDUEL FanDuel Group is the premier mobile gaming company in the United States and Canada. FanDuel Group consists of a portfolio of leading brands across mobile wagering including: America’s 1 Sportsbook, FanDuel Sportsbook; its leading iGaming platform, FanDuel Casino; the industry’s unquestioned leader in horse racing and advance-deposit wagering, FanDuel Racing; and its daily fantasy sports product. In addition, FanDuel Group operates FanDuel TV, its broadly distributed linear cable t…",IT Jobs,2025-04-17T20:31:37Z,100000.0,130000.0
Data Analyst,Online River,"New York City, New York","Department Technical Employment Type Part Time Location New York Workplace type Fully remote Compensation $30.00 - $34.00 / hour Key Responsibilities Skills, Knowledge and Expertise About Online River We specialize in delivering innovative solutions and exceptional services to meet the diverse needs of our clients. With a strong commitment to quality and customer satisfaction, we strive to exceed expectations and drive success in every project we undertake.",Maintenance Jobs,2024-12-15T10:13:56Z,62400.0,70720.0
Data Analyst,US Tech Solutions,"Grand Central, Manhattan","Job summary - Required skills: SQL, DBT, Dashboarding with Looker. - Familiarity with Python, R, Amplitude, A/B testing, and Github - Pulling data from dashboards and our database using SQL, creating weekly reports for the exec team - Opportunity sizing for roadmapping and prioritization of projects, communicating with stakeholders - Identifying and fixing any reporting issues (e.g., able to diagnose where in the pipeline an issue occurred About US Tech Solutions: US Tech Solutions is a global …",IT Jobs,2025-01-07T18:44:56Z,64467.81,64467.81
Market Data Analyst,S4 Market Data,"New York City, New York","Summary: PLEASE NOTE - This is NOT a technical role for a Data Analyst, Data Scientist or someone with an IT background. Candidates MUST have experience in the Market Data realm and be able to administer Market Data contracts. Please read the description before you apply The Market Data Analyst at S4 Market Data will oversee client projects and be responsible for the overall service delivery of our managed services with respective clients. This position will manage market data service inquiries…",IT Jobs,2025-03-05T21:18:13Z,77910.29,77910.29
Business Data Analyst,TrekRecruit LLC,"Jersey City, Hudson County","Job Title: Business Data Analyst Location: Jersey City, NJ (Hybrid) Duration: Full Time The IT Business Lead Analyst is a senior-level position responsible for liaising between business users and technologists to exchange information in a concise, logical and understandable way in coordination with the Technology team. The overall objective of this role is to contribute to continuous iterative exploration and investigation of business performance and other measures to gain insight and drive bus…",IT Jobs,2025-04-17T07:45:38Z,120000.0,160000.0
Data Analyst - P2,United Nations Development Programme,"New York City, New York","United Nations Development Programme Background Hosted by the UN Development Programme (UNDP), the Multi-Partner Trust Fund Office (MPTF Office) is the only United Nations unit exclusively dedicated to the design and administration of multi-stakeholder pooled financing instruments. Since 2003, it has supported over 200 UN-implemented pooled funds, providing an integrated platform of inter-agency pooled fund services to help UN organizations and partners make fast and efficient progress towards …",IT Jobs,2025-04-16T04:52:17Z,99531.58,99531.58
Data Analyst - Hybrid,Credibly,"Gramercy Park and Murray Hill, Manhattan","Data Analyst Full-Time Hybrid, New York City Who We Are: We believe in small businesses and the people who grow them. At Credibly, we leverage cutting-edge data science, technology, partner relations, and customer support to provide business owners with accelerated access to right-sized capital solutions. From working capital loans and merchant cash advances to lines of credit and business expansion loans, we offer a suite of financing products that can accommodate nearly any stage of business …",IT Jobs,2025-02-01T08:31:59Z,94852.58,94852.58
Data Analyst Intern,targetspot,"Gramercy Park and Murray Hill, Manhattan","Description Targetspot is seeking a Data Analyst Intern to join our team for an exciting opportunity to work in the digital advertising industry. As a Data Analyst Intern, you will be responsible for analyzing large data sets and making data-driven recommendations to improve business performance. You will gain hands-on experience in data analysis, visualization tools, and business strategy. Responsibilities Analyze data sets to identify trends, insights, and opportunities for improvement Collec…",IT Jobs,2024-08-08T09:56:24Z,50127.82,50127.82
Data Analyst Intern,Avaya,"Franklin D Roosevelt, Manhattan","Description: Avaya is a leading internet company seeking a highly motivated and detail-oriented Data Analyst Intern to join our dynamic team. As a Data Analyst Intern, you will have the opportunity to work closely with the Data Analytics team and gain valuable experience in the field. You will be responsible for supporting the team in the collection, analysis, and visualization of data to drive strategic decision-making. Responsibilities Collect, cleanse, and transform data from various sources…",IT Jobs,2024-08-07T08:10:31Z,59174.95,59174.95
Restructuring Data Analyst,Mergermarket  Limited,"New York City, New York","Mergermarket (U.S.) Limited seeks Restructuring Data Analyst in New York, NY to analyze the financial data of the companies which are undergoing restructuring to generate insights. Apply  .",IT Jobs,2025-04-05T11:06:08Z,98223.51,98223.51
"Data Analyst, Empowerment",Riseboro Community Partnership,"East New York and New Lots, Brooklyn","Job Details 1875 BROADWAY - BROOKLYN, NY Full Time Associates $31.00 - $35.00 Hourly None Description ESSENTIAL DUTIES AND RESPONSIBILITIES The Data Analyst will report to the Director of Operations and support the overall project management responsibilities associated with the Home 4 Good. The Data Analyst will play a critical role in tracking, analyzing, and maintaining data related to client referrals, program activities, outcome metrics, and achievement. The Data Analyst will be responsible…",IT Jobs,2025-04-12T04:11:35Z,64480.0,72800.0
Marketing Data Analyst,US Tech Solutions,"Grand Central, Manhattan","Job Description: · As a Marketing Data Analyst, you will work providing insights, measurement expertise and strategic recommendations to some of the most digitally savvy global brands in the world in the FBR, HPC and Beauty verticals. · This is a data-oriented yet creative position that requires a sharp, analytical mind and an entrepreneurial spirit. Your knowledge of our internal and third party tools, as well as deep measurement expertise, combined with your curiosity to play with data combin…",IT Jobs,2024-05-10T15:34:40Z,78489.9,78489.9
Cubist Data Analyst,Point72,"New York City, New York","ROLE We are passionate about data. We collaborate to build elegant, effective, scalable and highly reliable solutions to empower predictive modelling in finance. Cubist’s data services group is looking for a Data Analyst to join our dedicated team. Our group is responsible for the timely delivery of comprehensive and error-free data to some of the most demanding and successful systematic Portfolio Managers in the world. This exceptional individual will be a member of a small team of Data Scient…",Accounting & Finance Jobs,2024-08-13T14:22:05Z,102785.89,102785.89
Senior Data Analyst,Workforce Opportunity Services,"Meadows, Hudson County","Workforce Opportunity Services (WOS) is a leading 501(c)(3) nonprofit dedicated to developing the skills of high-potential individuals who may not have access to career opportunities. Through strategic partnerships, WOS connects motivated talent with organizations seeking to expand their workforce with skilled professionals. Utilizing a scientifically-based model derived from research conducted at Columbia University, we recruit, educate, train, and place high-potential talent with leading orga…",IT Jobs,2025-03-19T08:22:24Z,104403.94,104403.94
Senior Data Analyst,S3,"New York City, New York","Job Description Senior Data Analyst – Cloud Data & Practice Development DIRECT HIRE/ PERMANENT OPPORTUNITY New York City, NY – hybrid onsite Salary range $200K - $300K – hybrid role in office/home Qualifications: • Proven experience in data architecture, cloud data modernization, and modern data stack technologies. • Strong hands-on skills with Snowflake, Kafka, Databricks, and familiarity with cloud platforms (AWS, Azure, GCP) and integration tools. • Demonstrated success in leading technical …",IT Jobs,2025-03-26T23:36:11Z,200000.0,300000.0
Data Analyst II,Rendr,"New York City, New York","Discover Better Health Careers with Rendr Who We Are Rendr is the leading primary care focused, multi-specialty medical group dedicated to serving the Asian community in New York City. We strive to provide world-class, value-based health care with kindness at more than 100 clinical offices throughout Brooklyn, Manhattan, Queens, Staten Island, and Nassau County. Why Join Rendr? Opportunities for professional growth and development. Competitive salary and benefits package. (Salary is based on pr…",Healthcare & Nursing Jobs,2025-02-16T08:04:34Z,67925.53,67925.53
Data Analyst III,West Coast Consulting,"New York City, New York","Job Description Onsite in New York, NY heavily preferred Data Analysts drive how the UX Research function is powered by empowering Research leaders to integrate business data into their daily decisions as well as longer-term investments. The Data Analyst role in the Research Operations Insights team will work alongside UX Researchers, Research Program Managers, and Research leaders to identify, track, and solve issues that advance the efficiency and efficacy of our UX Research ecosystem. This r…",IT Jobs,2025-04-07T20:57:49Z,149760.0,162323.0
Investment Data Analyst,AllianceBernstein LP,"New York City, New York","About Us: We are a leading global investment management firm offering high-quality research and diversified investment services to institutional clients, retail investors, and private-wealth clients in major markets around the globe. With over 4,000 employees across 57 locations operating in 26 countries and jurisdictions, our ambition is simple: to be the most trusted investment firm in the world. We realize that it's our people who give us a competitive advantage and drive success in the mark…",IT Jobs,2025-03-21T19:58:48Z,150000.0,250000.0
Data Analyst Intern,BM Wemple pools,"East Harlem, Manhattan","As a Data Analyst Intern, you will be responsible for collecting, organizing, and analyzing large datasets to derive meaningful insights and provide strategic recommendations to our investment team. You will work closely with senior analysts and investment professionals to identify trends, evaluate market opportunities, and assess the performance of potential and existing investments. This internship will provide a unique opportunity to learn about the venture capital and private equity industr…",Accounting & Finance Jobs,2024-08-08T09:39:13Z,74768.55,74768.55
Data Analyst Intern,CityWonders,"Franklin D Roosevelt, Manhattan","About : City Wonders is a dynamic and innovative company. We are committed to excellence and offer exciting opportunities for interns to gain valuable experience in the field of data analysis. Position Overview: Are you a detail-oriented and analytical individual with a passion for data? Wonders is seeking a talented Data Analyst Intern to join our team. This internship provides a unique opportunity to work closely with our data professionals, learn valuable skills, and contribute to meaningful…",IT Jobs,2024-08-04T05:55:47Z,42300.03,42300.03
"Data Analyst, Risk",Current,"New York City, New York","Data Analyst, Risk Current is a leading consumer fintech platform transforming financial access for everyday Americans with over five million members. We provide access to financial solutions that seamlessly work together to solve the needs of our members and enable all Americans to build better financial futures. Based in NYC, our results-driven environment drives us to build better products, grow faster and empower everyone on our team to have an impact on our business and mission to improve …",Accounting & Finance Jobs,2025-04-15T21:03:16Z,130000.0,175000.0
Sr. Data Analyst,Argo Group,"New York City, New York","Argo Group is a leader in specialty insurance with a vibrant culture built on respect, equality, wellness and opportunity. We’re an innovative organization that’s small enough to be agile and big enough to make a difference in our industry. Our collaborative workplace is continuously evolving to ensure all employees feel: Comfortable bringing their whole selves to work. Confident that they will be treated respectfully. Recognized for their performance and provided with equal opportunities to su…",IT Jobs,2025-04-12T20:12:12Z,136000.0,163000.0
Data Analyst II,,"New York City, New York","Duties: Use experience with financial concepts to work with financial data. Work with loan-level servicing data and securitizations. Identify key metrics and transactional details on financial statements, investor reports, and securitization trustee. Develop logical frameworks to align data with the Company's comprehensive data dictionary. Collaborate with the engineering team to implement automation in the data review process. Craft data quality rules that systematically validate incoming data…",IT Jobs,2025-03-11T08:25:50Z,91014.46,91014.46
Product Data Analyst,Material Bank,"New York City, New York","Job Description Job Description Material Bank is a fast-paced, high-growth technology company and created the world's largest material marketplace for the Architecture and Design industry , providing the fastest and most powerful way to start and manage a design project. Learn more about us at www.materialbank.com or see below.  Material Bank is seeking a Product Data Analyst to expand and enhance our product catalog which powers several eCommerce platforms. As part of our experienced and colla…",Creative & Design Jobs,2025-04-05T02:01:45Z,50191.3,50191.3
Business Data Analyst,TrekRecruit LLC,"Jersey City, Hudson County","Job Description Job Description Job Title: Business Data Analyst Location: Jersey City, NJ (Hybrid) Duration: Full Time The IT Business Lead Analyst is a senior-level position responsible for liaising between business users and technologists to exchange information in a concise, logical and understandable way in coordination with the Technology team. The overall objective of this role is to contribute to continuous iterative exploration and investigation of business performance and other measur…",IT Jobs,2025-04-17T23:50:46Z,100577.74,100577.74
Senior Data Analyst,DLA Piper,"Grand Central, Manhattan","DLA Piper is, at its core, bold, exceptional, collaborative and supportive. Our people are the backbone, heart and soul of our firm. Wherever you are in your professional journey, DLA Piper is a place you can engage in meaningful work and grow your career. Let's see what we can achieve. Together. Summary ??? The Senior Data Analyst in the Data Analytics group is responsible for managing data analytics projects, assisting in driving firm data strategy and innovation, and utilizing advanced analy…",IT Jobs,2025-02-14T09:28:54Z,136865.97,136865.97
Data Analyst Intern,Syntax,"New York City, New York","About Syntax Data Syntax LLC is a financial data and technology company that codifies business models into a relational system we call Affinity Data™. Syntax operates through three segments: Affinity Data™, Syntax Direct™, and Syntax Indices™. Using its patented FIS® technology inspired by systems sciences, the Affinity Data™ segment offers the most comprehensive, granular, and accurate product line revenue data available on the market. The Syntax Direct™ segment then uses this abundance of dat…",IT Jobs,2025-04-19T23:00:50Z,60248.0,60248.0
Data Analyst Intern,Visionary,"Franklin D Roosevelt, Manhattan","As a Data Analyst Intern, you will support the company's data-driven decision-making process by analyzing large amounts of data related to consumer behavior, trends and patterns. You will have the opportunity to work with a team of experts and gain valuable insights into the retail industry while developing your skills and knowledge in data analytics. This is a part-time internship position that requires excellent attention to detail, critical thinking and problem solving skills and the ability…",IT Jobs,2024-08-08T09:59:13Z,59922.75,59922.75
Sr Data Analyst,Disney,"New York City, New York","About The Role & Team Join Disney’s Platform Analytics team as a Senior Data Analyst. You will be a key player in improving and measuring the performance of Disney’s streaming services, including Disney, Hulu, and ESPN. This role involves working with product, engineering, and business strategy partners through comprehensive data analysis and insight generation. You will collaborate closely with data engineering and product management to tackle data challenges and improve insights into the qual…",IT Jobs,2025-04-15T14:24:35Z,122090.84,122090.84
Data Analyst Intern,Paul Bednar,"Cooper, Manhattan","Description We are seeking an ambitious, self-starter to join our team as a Data Analyst Intern. You will be responsible for collecting, analyzing, and reporting on client data. This is a unique opportunity to gain invaluable experience working directly with the senior management to build out the Portfolio Optimization department in a rapidly growing company. Successful interns are given a clear path to full time employment postgraduation. Responsibilities Capture, clean and prepare data and an…",IT Jobs,2024-08-04T06:03:41Z,49531.62,49531.62
Restructuring Data Analyst,ION Group,"New York City, New York","The Role: Mergermarket (U.S.) Limited seeks a Restructuring Data Analyst in New York, NY. Key Responsibilities: Analyzing the financial data of the companies which are undergoing restructuring to generate insights. Consolidating information and producing reports and dashboards using Power BI for the stakeholders for monthly publications. Performing ad hoc analysis for data requests coming from the clients when required in addition to weekly and monthly data reporting. Compiling current business…",IT Jobs,2025-04-08T23:48:26Z,146141.0,155000.0
Market Data Analyst,Insight Global,"Grand Central, Manhattan","Job Description Insight Global is seeking a Market Data Analyst. This person is primarily responsible for ensuring compliance with market data subscriptions, reviewing and processing addendums, new order schedules, etc., and implementing cost-saving initiatives. Compensation: $50-$57 per hour. Exact compensation may vary based on several factors, including skills, experience, and education. We are a company committed to creating diverse and inclusive environments where people can bring their fu…",IT Jobs,2025-04-10T12:05:44Z,73800.64,73800.64
Music Data Analyst,"Yoh, A Day & Zimmermann Company","New York City, New York","Music Data Analyst needed for a contract opportunity with Yoh’s Entertainment client located in New York City. Job Details Contract duration : 6 months Location : New York City 10010 Pay: $35-41 per hour (Depending on experience) Schedule: M-TH On site (Friday remote) Hours: 10AM-6PM Job Description As an Analyst, you will have a central role on our team by using data-driven efforts to support artist discovery & promotion strategy, to generate daily/weekly reporting, and to improve the label’s …",IT Jobs,2025-04-12T16:39:31Z,70459.35,70459.35
Sr Data Analyst,The Walt Disney Company,"Grand Central, Manhattan","About The Role & Team Join Disney's Platform Analytics team as a Senior Data Analyst. You will be a key player in improving and measuring the performance of Disney's streaming services, including Disney, Hulu, and ESPN. This role involves working with product, engineering, and business strategy partners through comprehensive data analysis and insight generation. You will collaborate closely with data engineering and product management to tackle data challenges and improve insights into the qual…","Energy, Oil & Gas Jobs",2025-04-16T10:55:19Z,141574.78,141574.78
Senior Data Analyst,alice + olivia,"Church Street, Manhattan","POSITION SUMMARY: Alice  Olivia is seeking a highly skilled and driven Senior Data Analyst to unlock the full potential of customer data and deliver actionable insights across all marketing and product channels. This role will play a critical part in scaling the alice  olivia DTC team, building robust reporting structures, and fueling data-driven decision-making at every level of the business. You will work closely with our Senior Director of Performance Marketing and cross-functional teams to …",IT Jobs,2025-03-26T22:28:44Z,100000.0,115000.0
Mapping & Data Analyst,Via,"New York City, New York","Via is using technology to transform transportation around the world. From changing a single person’s daily commute to reducing humanity’s collective environmental footprint — we’ve got huge goals. As a Mapping & Data Analyst at Via, you will be managing the mapping layers, data collection and validation process that is the backbone of Via's navigational tools. Your work directly impacts our rider, driver and operator experience, and is the difference between a driver making the right turn or a…",Engineering Jobs,2024-11-29T10:35:14Z,65000.0,75000.0
Senior Data Analyst,Robert Half,"Grand Central, Manhattan","Description We are offering a permanent employment opportunity for a Senior Data Analyst in New York. This role will primarily focus on data management and strategic business activities. You will be required to perform in-depth data analysis, create datasets from various sources, perform data mining, consult with business stakeholders, and present reports for business review and planning. This position is within the data management industry and will be based in our New York office. Responsibili…",IT Jobs,2025-03-14T10:39:37Z,72004.13,72004.13
Data Analyst III,RTA US,"New York City, New York","Job Description Job Description Job Title: Data Analyst III Location: Onsite – New York, NY Duration: April 28, 2025 – December 31, 2025 Pay Rate: $70/hr to $80/hr W2 Client: Fortune 10 Company Job Description: The ideal candidate will have strong consultative, communication, analytical, data/dashboard building, and storytelling skills and will thrive managing concurrent projects while working with a cross-functional team to drive outcomes. We are looking for someone who enjoys building, figuri…",IT Jobs,2025-03-30T23:30:56Z,86575.04,86575.04
Music Data Analyst,"Yoh, A Day & Zimmermann Company","New York City, New York","Job Description Job Description Music Data Analyst needed for a contract opportunity with Yoh’s Entertainment client located in New York City. Job Details Contract duration : 6 months Location : New York City 10010 Pay: $35-41 per hour (Depending on experience) Schedule: M-TH On site (Friday remote) Hours: 10AM-6PM Job Description As an Analyst, you will have a central role on our team by using data-driven efforts to support artist discovery & promotion strategy, to generate daily/weekly report…",IT Jobs,2025-04-16T11:11:26Z,78489.16,78489.16
Senior Data Analyst,Tremendous,"New York City, New York","Tremendous is the fast, free, flexible way to send bulk payouts to people in over 200 countries. 10,000 companies ranging from mom-and-pops to Google, MIT, and United Way have sent over $1 billion, saving 15 hours a month on average. In both our product and our workplace, we’re intentional about making work more efficient, flexible, and fulfilling. Tremendous is a fully remote, high-documentation, low-meeting culture, which means more time for what matters in both your professional and personal…",IT Jobs,2024-08-08T09:50:00Z,160000.0,210000.0
